v8-version,4,6,85,31,0
timer-event-start,"V8.GCCompactor",2247
timer-event-start,"V8.External",2271
timer-event-end,"V8.External",2278
timer-event-start,"V8.External",4031
timer-event-end,"V8.External",4050
timer-event-end,"V8.GCCompactor",4054
code-creation,Stub,2,0x128d68006000,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d680061c0,556,"CEntryStub"
code-creation,Handler,3,0x128d68006400,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68006480,332,"BinaryOpICStub"
code-creation,Stub,2,0x128d680065e0,184,"DoubleToIStub"
code-creation,Handler,3,0x128d680066a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68006720,2694,"RecordWriteStub"
code-creation,Stub,2,0x128d680071c0,388,"StoreBufferOverflowStub"
code-creation,Stub,11,0x128d68007360,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d68007440,232,"BinaryOpICStub"
code-creation,Stub,2,0x128d68007540,336,"StoreFastElementStub"
code-creation,Stub,11,0x128d680076a0,256,"BinaryOpICStub"
code-creation,Stub,11,0x128d680077a0,220,"BinaryOpICStub"
code-creation,Stub,2,0x128d68007880,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d68007a40,1242,"FastNewContextStub"
code-creation,CallIC,8,0x128d68007f20,533,"A call IC from the snapshot"
code-creation,Builtin,4,0x128d68008140,413,"ArgumentsAdaptorTrampoline"
code-creation,Stub,2,0x128d680082e0,380,"CEntryStub"
code-creation,Stub,2,0x128d68008460,446,"CreateWeakCellStub"
code-creation,Stub,2,0x128d68008620,2722,"RecordWriteStub"
code-creation,Stub,2,0x128d680090e0,2672,"RecordWriteStub"
code-creation,Handler,3,0x128d68009b60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68009c80,2684,"RecordWriteStub"
code-creation,Stub,2,0x128d6800a700,2702,"RecordWriteStub"
code-creation,Stub,2,0x128d6800b1a0,974,"StoreFastElementStub"
code-creation,Stub,2,0x128d6800b580,2672,"RecordWriteStub"
code-creation,Stub,2,0x128d6800c000,188,"DoubleToIStub"
code-creation,Stub,2,0x128d6800c0c0,321,"StoreArrayLiteralElementStub"
code-creation,Stub,2,0x128d6800c220,1819,"RecordWriteStub"
code-creation,Stub,2,0x128d6800c940,168,"StoreBufferOverflowStub"
code-creation,CallIC,8,0x128d6800ca00,533,"A call IC from the snapshot"
code-creation,Stub,12,0x128d6800cc20,187,"CompareICStub"
code-creation,Handler,3,0x128d6800cce0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6800cd60,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6800cde0,332,"BinaryOpICStub"
code-creation,Stub,11,0x128d6800cf40,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6800d020,471,"BinaryOpICStub"
code-creation,Stub,11,0x128d6800d200,212,"BinaryOpICStub"
code-creation,Stub,2,0x128d6800d2e0,626,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x128d6800d560,152,"BinaryOpICStub"
code-creation,Stub,2,0x128d6800d600,234,"CallFunctionStub"
code-creation,Stub,2,0x128d6800d700,594,"ArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x128d6800d960,394,"FastNewContextStub"
code-creation,Stub,2,0x128d6800db00,572,"TypeofStub"
code-creation,Stub,11,0x128d6800dd40,284,"BinaryOpICStub"
code-creation,CallIC,8,0x128d6800de60,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d6800dee0,368,"A call IC from the snapshot"
code-creation,Stub,2,0x128d6800e060,278,"ArrayConstructorStub"
code-creation,Stub,2,0x128d6800e180,486,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d6800e380,502,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d6800e580,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d6800e740,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d6800e900,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d6800eae0,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,11,0x128d6800ecc0,284,"BinaryOpICStub"
code-creation,Handler,3,0x128d6800ede0,244,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6800eee0,244,"An IC handler from the snapshot"
code-creation,Stub,12,0x128d6800efe0,195,"CompareICStub"
code-creation,Stub,11,0x128d6800f0c0,438,"BinaryOpICStub"
code-creation,Stub,11,0x128d6800f280,256,"BinaryOpICStub"
code-creation,Stub,2,0x128d6800f380,1805,"RecordWriteStub"
code-creation,Stub,2,0x128d6800faa0,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x128d6800fd00,1608,"FastCloneShallowArrayStub"
code-creation,Stub,2,0x128d68010360,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x128d68010540,2700,"RecordWriteStub"
code-creation,Handler,3,0x128d68010fe0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68011060,292,"BinaryOpICStub"
code-creation,Stub,11,0x128d680111a0,220,"BinaryOpICStub"
code-creation,Stub,2,0x128d68011280,538,"ArgumentsAccessStub"
code-creation,Stub,11,0x128d680114a0,232,"BinaryOpICStub"
code-creation,Stub,11,0x128d680115a0,212,"BinaryOpICStub"
code-creation,Handler,3,0x128d68011680,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68011700,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680117e0,344,"BinaryOpICStub"
code-creation,Stub,2,0x128d68011940,332,"StoreFastElementStub"
code-creation,Stub,2,0x128d68011aa0,188,"DoubleToIStub"
code-creation,Stub,2,0x128d68011b60,353,"ArgumentsAccessStub"
code-creation,Stub,11,0x128d68011ce0,232,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68011de0,113,"A call IC from the snapshot"
code-creation,Stub,11,0x128d68011e60,486,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68012060,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d680120e0,533,"A call IC from the snapshot"
code-creation,Handler,3,0x128d68012300,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68012380,434,"BinaryOpICStub"
code-creation,Stub,11,0x128d68012540,332,"BinaryOpICStub"
code-creation,Handler,3,0x128d680126a0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68012720,462,"BinaryOpICStub"
code-creation,Stub,2,0x128d68012900,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x128d68012b60,256,"BinaryOpICStub"
code-creation,Handler,3,0x128d68012c60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68012d80,510,"CreateAllocationSiteStub"
code-creation,Stub,2,0x128d68012f80,2723,"RecordWriteStub"
code-creation,Stub,2,0x128d68013a40,2680,"RecordWriteStub"
code-creation,Stub,11,0x128d680144c0,458,"BinaryOpICStub"
code-creation,Stub,11,0x128d680146a0,152,"BinaryOpICStub"
code-creation,Stub,11,0x128d68014740,212,"BinaryOpICStub"
code-creation,Handler,3,0x128d68014820,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d680148a0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d68014920,634,"A call IC from the snapshot"
code-creation,Stub,2,0x128d68014ba0,458,"ToObjectStub"
code-creation,Handler,3,0x128d68014d80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68014ea0,462,"BinaryOpICStub"
code-creation,Handler,3,0x128d68015080,220,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68015160,372,"JSEntryStub"
code-creation,Stub,11,0x128d680152e0,458,"BinaryOpICStub"
code-creation,Stub,11,0x128d680154c0,292,"BinaryOpICStub"
code-creation,Stub,11,0x128d68015600,434,"BinaryOpICStub"
code-creation,Stub,2,0x128d680157c0,958,"StoreFastElementStub"
code-creation,Stub,2,0x128d68015b80,234,"CallFunctionStub"
code-creation,Handler,3,0x128d68015c80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015d00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015d80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015e00,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68015ee0,152,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68015f80,634,"A call IC from the snapshot"
code-creation,Handler,3,0x128d68016200,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680162e0,220,"BinaryOpICStub"
code-creation,CallIC,8,0x128d680163c0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d68016440,527,"A call IC from the snapshot"
code-creation,Stub,11,0x128d68016660,256,"BinaryOpICStub"
code-creation,Stub,2,0x128d68016760,1786,"RecordWriteStub"
code-creation,Stub,2,0x128d68016e60,1222,"FastNewContextStub"
code-creation,Handler,3,0x128d68017340,160,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d680173e0,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0x128d68017620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680176a0,458,"BinaryOpICStub"
code-creation,Stub,12,0x128d68017880,173,"CompareICStub"
code-creation,CallIC,8,0x128d68017940,113,"A call IC from the snapshot"
